customer_id,name,phone,registration_date,city,quartier,loyalty_score
CUST10622,Stéphane ETOA,+237641039390,2022-08-26,yaounde,Efoulan,21.5
CUST10655,GISÈLE NGANSO,675181765,2022-01-18,Douala ,Mboppi,48.8
CUST11024,ESSAMA Estelle,+237679583757,2024-09-13,YAOUNDE,Omnisport,
CUST11412,KOLLO Raoul,669533928,2021-06-21,Bafoussam,Mossap,
CUST11782,ONANA Emmanuel,+237678140959,2024-06-21,Douala,Bonabéri,77.4
CUST11340,ARMEL BARRY,237-626395999,2024-12-02,Bafoussam ,Lekie,52.5
CUST10949,KOUYATE Gaston,618004482,2021-07-14,Yaoundé,Ngoa-Ekele,67.5
CUST17352,TCHOUPO Vanessa,6 15 29 12 08,2023-03-23,YAOUNDE,Obili,23.7
CUST11104,JOSEPHINE CAMARA,673481797,2021-09-01,Douala,Deido,21.7
CUST10663,Pauline ELA,+237627129912,2021-06-19,DOUALA,Mboppi,58.2
CUST10779,Saidou BOUKAR,237-691917334,2021-04-17,Douala,Kotto,21.1
CUST10171,Honoré teguia,+237675579548,2021-04-04,Yaoundé,Elig-Edzoa,83.6
CUST10329,Pierre MBOCK,6 98 23 11 32,2024-03-15,Yaoundé ,Ngoa-Ekele,36.0
CUST10996,Khadija NKODO,(+237) 654735895,2023-03-01,Douala,Cité des Palmiers,
CUST10111,Sandrine wamba,(+237) 643101783,2023-02-18,douala,Ngodi-Bakoko,43.5
CUST17313,OUMAROU Therese,(+237) 682160068,2022-08-01,yaounde,Nkomo,21.1
CUST10164,Ornella ASSOUMOU,+237660185867,2023-07-26,Bafoussam,Lekie,170.5
CUST11551,Rabi njoh,237-665590800,2022-10-01,douala,Kotto,40.0
CUST11653,BOUKAR Modibo,+237672270726,2024-06-11,Douala ,Bepanda,78.6
CUST11674,BORIS NTONGO,657236885,2021-05-22,douala ,Ndogpassi,8.7
CUST11777,Eric BIYA,+237628463709,2024-06-07,douala ,Yassa,50.5
CUST10982,Sandrine OUMAROU,673149551,2021-07-19,Douala ,Kotto,68.0
CUST11625,Saidou diallo,(+237) 655568701,2024-01-20,douala,Bonapriso,73.3
CUST11547,Saidou bikele,6 66 91 02 99,2022-01-03,Douala ,Nkolmesseng,160.4
CUST17211,djeneba OBAMA,237-648508907,2024-12-15,douala,PK8,34.4
CUST10650,Nadège assoumou,00237 6 39600202 63 18 17,2024-08-05,Bafoussam ,Mossap,126.9
CUST10244,EMMANUEL MENDO,00237 6 57553014 28 26 53,2021-08-17,douala,Ngodi-Bakoko,36.6
CUST10345,Edith NGAMOURI,00237 6 52436584 29 43 48,2024-10-02,Yaounde,Tsinga,56.0
CUST11299,Rabi NKUISSI,628760553,2021-10-30,Douala ,Beedi,59.6
CUST11328,Armel AKONO,669686067,2021-09-04,douala ,Deido,47.2
CUST17136,astride MONGO,655414869,2023-05-19,DOUALA,PK8,19.2
CUST11819,Régine engolo,00237 6 80794454 13 40 70,2023-05-07,YAOUNDE,Santa Barbara,48.4
CUST10908,Thierry NKOUAM,(+237) 691823275,2021-04-27,Bafoussam,Bamendzi,31.6
CUST11153,AMOUGOU Sandrine,+237669549527,2022-06-12,douala ,Bonanjo,61.7
CUST11761,DOUMBIA Marie,680651318,2025-01-01,Bafoussam ,Kamkop,60.8
CUST10287,Rodrigue TSIMI,662401521,2024-05-19,douala ,Bepanda,69.3
CUST11974,ORNELLA KOUAM,+237698010774,2021-05-29,Douala ,Bepanda,28.6
CUST10713,MENDO Chancelle,639254705,2021-03-01,yaounde,Mvog-Mbi,61.4
CUST10197,Rodrigue mboa,+237636998038,2022-04-18,douala,Village,63.8
CUST10686,Mariama NDOUMBE,660885459,2021-09-13,Douala,Logbessou,10.2
CUST10904,ETOA Paul,650987442,2024-12-23,Douala ,Bonapriso,16.5
CUST10062,Paul FOMEKONG,00237 6 48840994 41 76 32,2024-04-04,Yaoundé,Melen,23.3
CUST10498,ASTRIDE BELLO,237-658884978,2024-12-24,Yaoundé,Mvog-Mbi,17.4
CUST11138,Raoul abate,694127561,2021-11-11,Bafoussam ,Tougang,39.9
CUST11082,NGUEFACK Baudouin,687835998,2023-01-26,DOUALA,Bali,33.3
CUST11932,Khadija HASSAN,+237657928328,2021-10-05,Yaoundé ,Bastos,64.6
CUST10131,OUMAROU Yvette,237-690048665,2024-11-02,DOUALA,Bepanda,29.5
CUST17118,teguia Honoré,6 75 57 95 48,2021-04-04,Yaounde,Elig-Edzoa,83.6
CUST10479,Emmanuel NDJOCK,237-624549543,2024-12-13,Yaoundé,Bastos,
CUST10574,Nadège NDZANA,610744212,2022-03-12,Douala ,Ndogpassi,57.2
CUST10491,Abdou MBARGA,6 44 18 82 76,2021-06-15,douala,PK12,62.7
CUST11601,Thierry TCHAMBA,686960402,2024-09-22,yaounde,Emana,50.2
CUST11191,NDIKUM Norbert,+237631203129,2024-09-12,Douala ,Cité des Palmiers,18.6
CUST17164,ONANA Boubacar,672732043,2023-03-02,douala,Kotto,72.1
CUST11778,Oumar YAYA,630796389,2024-05-24,bafoussam,Lekie,33.9
CUST10143,Isabelle ntongo,645812670,2022-04-14,Douala ,Bonapriso,61.8
CUST11069,Rabi ATEBA,+237690447099,2022-09-03,Bafoussam,Lekie,71.5
CUST11035,Suzanne BELLO,648658617,2021-06-03,Yaoundé,Santa Barbara,20.2
CUST11012,Vanessa ASSOUMOU,237-643876400,2021-05-26,BAFOUSSAM,Tougang,
CUST11671,Astride MAHAMADOU,646866075,2024-11-16,Douala ,PK12,34.7
CUST10319,Luc ENGOLO,237-664193837,2024-03-10,douala,Nyalla,35.0
CUST11912,Joël EKOTTO,699170406,2023-02-04,DOUALA,Bonapriso,65.3
CUST10927,MARLÈNE ESSOH,649092160,2021-09-13,yaounde,Mimboman,21.3
CUST11225,Armel CISSE,657287718,2022-11-28,Yaounde,Mvog-Mbi,54.8
CUST10726,MODIBO ABOUNA,651870192,2023-12-27,BAFOUSSAM,Ndiengdam,54.0
CUST11622,FOMEKONG Norbert,620555833,2023-05-05,Bafoussam ,Ngouache,49.1
CUST11639,Evelyne tchamba,+237629822594,2023-07-26,Yaoundé,Messa,195.9
CUST11913,Moussa marouf,00237 6 99686286 23 23 16,2023-11-17,douala,PK12,40.0
CUST10356,Raoul kollo,237-645594597,2021-10-06,yaounde,Etoudi,25.8
CUST17109,ESSOH Baudouin,667556566,2022-11-18,Yaoundé,Mvog-Mbi,14.7
CUST10958,Nadège ELA,00237 6 50814428 19 88 46,2021-12-09,Yaoundé ,Biyem-Assi,18.6
CUST11094,CONSTANT TAMBA,671115319,2024-07-03,DOUALA,Bonanjo,38.4
CUST12092,Prosper WAMBA,(+237) 626288992,2023-02-09,DOUALA,Cité des Palmiers,46.5
CUST17266,vanessa NGUEFACK,631682744,2024-11-15,Yaounde,Nlongkak,27.3
CUST10116,MAHAMADOU Sandrine,+237667503414,2023-04-21,Yaoundé,Mokolo,43.7
CUST11018,Sylvain SIDIBE,237-698269682,2023-06-13,Yaoundé,Efoulan,83.1
CUST11350,CONSTANT ABENA,+237654762841,2024-07-10,DOUALA,Mboppi,
CUST10097,SERGE MENDO,+237645935572,2021-06-09,Bafoussam ,Ngouache,54.9
CUST11835,EPEE Ghislain,+237621257528,2021-09-15,Yaoundé,Etoudi,32.7
CUST10838,Honoré mongo,+237635708194,2022-03-24,Douala ,Ngodi-Bakoko,56.8
CUST11703,Gisèle ATEBA,237-630248230,2024-10-27,Douala,Deido,236.2
CUST17204,Laure ABENA,237-620633503,2021-09-21,BAFOUSSAM,Ndiengdam,46.9
CUST10438,Djeneba DIBOTI,+237665337219,2021-08-19,Douala,Ndog-Bong,54.8
CUST11711,Rémi SIDIBE,633160465,2022-07-30,DOUALA,PK12,25.4
CUST11208,FEUDJIO Larissa,+237686762164,2022-03-02,Douala ,Logbessou,76.7
CUST11483,Hervé ELA,237-687566910,2022-09-21,Douala,Yassa,77.8
CUST12076,Pauline KAMGA,00237 6 69741812 68 48 86,2024-11-06,DOUALA,PK12,14.6
CUST12072,ABENA Pierre,237-628217159,2023-10-20,DOUALA,Bepanda,28.6
CUST11289,Flore DIALLO,+237691883846,2023-01-07,Yaoundé,Mendong,6.1
CUST17159,LOBE BERTILLE,00237 6 10209961 35 47 96,2024-08-24,DOUALA,Yassa,20.4
CUST11971,SOPHIE ETOA,648401154,2022-01-17,Yaoundé ,Obili,37.8
CUST10917,Honoré MVONDO,(+237) 642194159,2023-05-18,Bafoussam ,Famla,6.6
CUST10112,Mireille ONANA,685345555,2021-10-01,Douala,Ndog-Bong,16.3
CUST11224,DJENEBA KEITA,237-691478884,2021-09-24,Bafoussam,Tamdja,44.5
CUST10533,MARIAMA NGONO,6 91 42 47 37,2023-05-07,Douala ,Ndokotti,16.6
CUST12083,TEGUIA Flore,+237682769008,2023-09-20,Douala,Ndog-Bong,43.8
CUST11149,ASSOUMOU Isabelle,6 68 24 66 64,2023-09-12,douala ,Ndog-Bong,28.1
CUST11831,Nadine NTONGO,(+237) 623769360,2022-02-04,Douala ,Akwa,24.4
CUST11883,Gisèle BELINGA,641895531,2023-01-26,YAOUNDE,Messa,169.8
CUST17299,Fatima BARKA,+237615879578,2021-08-09,BAFOUSSAM,Baham-Route,67.2
CUST11308,YAYA Solange,+237628208520,2024-07-11,Douala ,Bonamoussadi,242.9
CUST17161,ALI CHRISTIAN,237-663606628,2021-08-09,YAOUNDE,Nkomo,69.7
CUST10221,COLETTE MONGO,237-619046318,2024-02-23,Bafoussam ,Tougang,69.6
CUST10581,Norbert EKOTTO,+237616740197,2022-02-11,Douala ,PK12,52.2
CUST12048,NKODO Didier,681062902,2024-12-04,douala,PK8,62.9
CUST11546,Margot mvondo,+237698843907,2024-07-30,Yaounde,Essos,91.5
CUST11516,Mariama BELLO,237-629226889,2023-10-25,douala ,Beedi,30.5
CUST11257,JOSEPHINE DJOUMESSI,6 44 48 99 40,2024-04-27,yaounde,Mokolo,77.6
CUST17336,astride ndongo,652910691,2022-12-14,Douala ,Bonabéri,43.2
CUST11820,CÉLINE BILONG,+237666191704,2023-02-17,Douala,Bali,29.7
CUST10119,BELINGA Serge,6 58 58 63 40,2022-02-06,Bafoussam ,Pefura,7.2
CUST10403,EKOTTO Boris,6 45 15 90 40,2024-12-31,Yaoundé,Biyem-Assi,69.9
CUST10858,Mariama EKOTTO,(+237) 617318358,2023-07-04,yaounde,Bastos,65.4
CUST10576,CHANCELLE KONE,667062156,2022-04-18,DOUALA,Nkolmesseng,
CUST11492,COLETTE OUMAROU,684660688,2023-04-05,yaounde,Mvog-Mbi,21.3
CUST10683,Solange ABENA,+237671028710,2024-12-10,Douala,Akwa,51.5
CUST11684,Pauline ateba,+237620298660,2021-12-20,Douala,Ndog-Bong,39.5
CUST11055,Bernard balde,237-630665654,2023-12-19,douala ,Deido,67.5
CUST17250,NGWA Rodrigue,663423225,2021-10-19,douala,Deido,41.9
CUST11710,Fatoumata EKANI,+237696721710,2024-04-13,Yaoundé,Essos,22.2
CUST10339,EMMANUEL TALLA,+237645650176,2022-10-15,Yaoundé,Jouvence,78.9
CUST10490,YAYA Viviane,635511941,2021-06-19,Douala ,Cité des Palmiers,18.8
CUST11222,Laurent issa,+237648412328,2022-04-07,douala ,PK8,
CUST11176,EDITH MBASSI,6 42 32 36 27,2024-04-07,douala ,Akwa,36.1
CUST11564,MBARGA Gisèle,+237651395350,2024-02-28,douala,Makepe,40.9
CUST10252,Pauline feze,237-618135295,2021-04-07,Douala,PK12,26.9
CUST10234,Djeneba MFOU,687337818,2024-04-16,douala ,PK8,38.3
CUST10332,Hawa NJIEMOUN,+237680166708,2023-09-13,DOUALA,Bonanjo,60.9
CUST10155,Patricia ATEBA,+237678139880,2022-08-03,Bafoussam ,Kamkop,48.3
CUST10012,CHRISTIAN MFOU,+237614265799,2021-04-04,Bafoussam ,Baham-Route,
CUST10935,EKANI Raoul,645507920,2024-06-12,Yaounde,Etoudi,33.0
CUST10800,FEUDJIO Ornella,00237 6 42394260 38 12 35,2023-02-23,Yaoundé ,Omnisport,38.7
CUST10764,Romain MINLO,00237 6 92666356 25 93 35,2023-03-01,douala,Kotto,29.1
CUST10475,MARGOT ETOUNDI,+237633966966,2024-11-21,douala,Makepe,
CUST11847,Edith BILONG,665686520,2022-10-26,Douala,Deido,18.9
CUST11596,THIERRY OYONO,237-671707170,2023-05-01,bafoussam,Tougang,
CUST10480,Wilfried ATEBA,+237690070438,2023-10-01,douala,Bepanda,19.7
CUST17241,sophie CISSE,(+237) 617672593,2022-05-19,douala,Bonanjo,45.4
CUST10016,OUMAR EBOUELE,+237641227216,2022-06-04,Douala ,Logbessou,65.8
CUST11522,Guy ABENA,(+237) 694982908,2021-12-23,DOUALA,Makepe,80.8
CUST17379,Hawa cisse,688831486,2024-01-07,YAOUNDE,Biyem-Assi,22.5
CUST10827,Pauline NGANSO,6 70 90 06 58,2021-06-30,douala ,Ndogpassi,149.7
CUST10390,Moussa ALI,677834855,2021-11-28,Yaoundé ,Madagascar,70.8
CUST10412,EMMANUEL MINLO,(+237) 630005727,2024-11-05,yaounde,Efoulan,28.8
CUST10848,Marcel ibrahim,+237649761527,2023-07-04,douala,Makepe,45.1
CUST10856,Bernard FOTSO,+237646817443,2023-03-13,Yaoundé,Etoudi,19.9
CUST11419,Hervé OYONO,626937148,2022-10-21,Bafoussam ,Famla,39.7
CUST10146,EPEE Thierry,237-624972279,2022-02-13,Douala ,Akwa,21.9
CUST11745,Nadine BIKELE,+237628982195,2022-03-11,yaounde,Briqueterie,51.7
CUST10803,Hamidou tamba,684514489,2023-11-10,Douala ,Nkolmesseng,46.0
CUST11998,MAROUF Isabelle,653112268,2023-05-15,DOUALA,Beedi,46.8
CUST10175,Aline NDOUMBE,+237651273847,2022-10-17,Yaounde,Madagascar,65.4
CUST10763,MODIBO BIKELE,+237646249845,2023-04-14,yaounde,Nkol-Eton,242.1
CUST11306,Chancelle EBOUELE,+237641514326,2024-09-21,YAOUNDE,Santa Barbara,15.9
CUST10698,Cyrille DJOKAM,619209801,2021-03-28,douala,Yassa,52.7
CUST10624,Sylvain KENFACK,237-630509175,2021-10-14,douala,Bepanda,58.3
CUST11359,Bertille FEZE,00237 6 38984499 18 74 73,2022-04-25,Douala ,Bonabéri,31.5
CUST11593,Patrick NDIKUM,+237615677713,2024-03-31,Douala ,Beedi,
CUST17365,pierre NKOLO,237-636040410,2024-03-08,DOUALA,Bonanjo,30.7
CUST11369,Bernard onana,643642236,2021-11-01,Yaoundé,Mokolo,10.2
CUST17320,ENGOLO Nadège,696261621,2021-11-14,bafoussam,Baham-Route,66.5
CUST11786,EBOUELE Vanessa,237-698842638,2022-01-10,douala,New-Bell,21.1
CUST12043,Djeneba BARRY,659930790,2024-09-04,Douala ,Ndogpassi,36.6
CUST10665,STÉPHANE ABATE,00237 6 81688860 20 17 45,2024-07-31,YAOUNDE,Mokolo,38.6
CUST10675,SOPHIE OBAMA,6 28 21 32 76,2024-06-23,douala ,Bonanjo,4.1
CUST11817,ISABELLE NGWA,+237661254050,2023-07-25,Douala,Kotto,38.2
CUST10253,Abdou NGANSO,6 64 03 89 13,2022-06-05,douala ,Akwa,15.6
CUST11620,Denise DIBOTI,663747464,2023-07-02,douala ,Village,36.6
CUST10756,Joëlle BILONG,237-695306788,2024-12-26,Bafoussam,Djeleng,76.4
CUST11124,BARRY Aline,697883261,2023-06-20,Yaoundé ,Mimboman,6.4
CUST11489,Abdou abate,+237640097636,2023-07-15,douala,Bali,58.6
CUST11720,Astride NGANSO,(+237) 658841557,2022-05-26,bafoussam,Pefura,17.0
CUST17168,MONGO FLORE,+237692874006,2022-12-03,DOUALA,Cité des Palmiers,15.3
CUST10362,Patricia OYONO,648250360,2021-06-17,yaounde,Mvog-Mbi,89.3
CUST10591,Serge BALENG,+237689920257,2024-01-31,douala,Bonapriso,
CUST10229,Joël ateba,237-675151231,2024-04-18,DOUALA,Bonanjo,43.5
CUST11115,ALINE BILONG,654559574,2021-06-06,Bafoussam ,Ngouache,
CUST11421,CHANCELLE NGONO,6 93 79 44 75,2024-02-19,yaounde,Essos,6.4
CUST10121,Moussa EPEE,00237 6 28566572 46 78 54,2023-06-20,douala ,Bonapriso,24.5
CUST11702,Marcel dawa,00237 6 77292380 38 81 31,2023-11-16,douala ,Village,32.7
CUST10986,Rémi ELA,237-647333543,2022-08-05,douala ,Ndogpassi,64.4
CUST10352,Nadège BELINGA,619832887,2022-06-08,Douala,Deido,71.0
CUST10735,OYONO Modibo,623676961,2022-11-09,Douala ,PK12,30.1
CUST12067,Christiane EPEE,237-692124765,2022-07-01,Douala,Deido,23.7
CUST10353,Therese OUMAROU,+237682160068,2022-08-01,yaounde,Nkomo,21.1
CUST17107,BALENG GUY,237-684411983,2021-12-24,Bafoussam ,Pefura,63.6
CUST10816,Sandrine MENDO,+237699115205,2022-08-22,BAFOUSSAM,Baham-Route,23.9
CUST10962,FOUDA Aline,00237 6 82475098 69 94 60,2022-12-23,douala ,Beedi,26.8
CUST11402,ORNELLA MENDO,650484137,2022-09-23,douala ,Bonamoussadi,
CUST10072,Rodrigue ABATE,(+237) 659684848,2022-07-25,yaounde,Mvog-Mbi,28.4
CUST10493,STÉPHANE DIBOTI,+237668526649,2022-02-07,YAOUNDE,Obili,33.8
CUST10069,Norbert BARRY,695320121,2024-03-17,Douala ,Bonabéri,36.1
CUST11199,Saidou CISSE,643567615,2024-05-29,DOUALA,Ndog-Bong,27.2
CUST11852,Aïcha BIYA,(+237) 641645597,2024-04-12,Douala,Bonapriso,34.3
CUST11108,Kevin BARKA,697512508,2023-11-12,Bafoussam,Bamendzi,45.1
CUST11346,Sandrine IBRAHIM,+237695831286,2021-04-12,YAOUNDE,Essos,43.9
CUST17177,mengue Pierre,647983442,2021-03-08,Douala ,Bepanda,57.3
CUST10391,Alain ONANA,675569635,2022-06-24,Douala,Yassa,33.9
CUST11475,ATEBA Norbert,+237699300492,2023-10-30,douala,New-Bell,44.3
CUST10772,Armelle obama,00237 6 42949803 30 88 94,2022-01-16,douala,Nkolmesseng,31.5
CUST11892,EKANI Kevin,618429833,2022-01-20,Yaoundé ,Efoulan,13.2
CUST10283,Ibrahim nkolo,617869910,2022-11-26,douala ,Mboppi,52.6
CUST11418,Aïcha ngoufo,+237618815720,2023-01-29,Bafoussam ,Baham-Route,17.9
CUST11193,Nadège NDJOCK,669287967,2021-04-26,Yaoundé,Elig-Edzoa,74.4
CUST17203,Aminata MAHAMADOU,(+237) 623492385,2023-09-07,douala,Ndog-Bong,40.4
CUST11882,Nadège nganso,237-648668339,2021-09-13,douala,Bonabéri,20.7
CUST10690,IBRAHIM Rabi,+237620993268,2022-05-25,douala,Logbessou,68.6
CUST11616,CAMARA Ornella,624208709,2024-07-07,douala ,Bonapriso,29.6
CUST11424,Laure etoundi,+237683599154,2021-12-09,Bafoussam,Lekie,32.1
CUST11833,STANISLAS KAMGA,626733967,2024-08-25,Yaoundé ,Obili,54.2
CUST17376,GUSTAVE ETOUNDI,651617680,2024-01-21,douala,Ngodi-Bakoko,15.5
CUST10218,DJOUMESSI Flore,00237 6 94705205 66 49 56,2023-06-23,YAOUNDE,Mimboman,95.9
CUST11469,PROSPER DAWA,00237 6 85387867 87 12 14,2024-06-04,Douala ,Logbessou,80.8
CUST11878,SUZANNE ATEBA,+237691722503,2023-12-20,DOUALA,Bonamoussadi,44.0
CUST12026,Thierry TALLA,+237629163535,2022-11-04,Bafoussam ,Fomekoua,
CUST10747,MARGOT TCHAMBA,677908907,2023-02-08,Yaoundé,Bastos,46.7
CUST11583,TEGUIA Serge,627339011,2024-01-12,yaounde,Emana,
CUST11926,Baudouin DJOKAM,+237615843091,2024-11-25,Douala,Bonabéri,
CUST17212,Evelyne DIALLO,6 70 01 27 27,2022-05-30,DOUALA,Bonapriso,184.7
CUST11798,Pierre hassan,+237615864298,2023-04-21,Douala,Logbessou,24.7
CUST10476,TAMBA Mireille,+237687925434,2024-05-09,DOUALA,Ndogpassi,54.4
CUST11136,Gaston BIYA,661003997,2022-05-14,Yaounde,Obili,79.1
CUST10029,Ghislain KOLLO,6 10 87 22 48,2021-07-20,DOUALA,Yassa,47.5
CUST12025,JOËLLE ETOUNDI,614179623,2022-07-31,Douala,Kotto,11.7
CUST10207,Marie GARBA,640158366,2023-03-11,DOUALA,Beedi,44.3
CUST11050,Hervé TOURE,640158811,2022-08-22,Bafoussam ,Mossap,5.2
CUST10964,Céline FOUDA,+237668755000,2023-02-01,bafoussam,Centre Ville,95.4
CUST11994,EKOTTO Rodrigue,+237690859912,2023-06-06,YAOUNDE,Nkomo,24.2
CUST11921,FLORE MENDO,678131950,2021-06-08,Douala,Nyalla,12.5
CUST11748,Christelle mendo,+237698054173,2023-07-15,Bafoussam ,Tamdja,41.4
CUST11250,Raoul KAMGA,00237 6 27738187 90 94 18,2023-03-25,DOUALA,Bonabéri,21.1
CUST10303,Stanislas ENGOLO,237-652091325,2022-03-04,Yaoundé,Essos,27.7
CUST11098,BIYA Bertille,(+237) 686745380,2024-10-12,douala,Ndog-Bong,8.3
CUST10455,SERGE TCHAMBA,650962024,2021-03-17,Douala,Ndogpassi,60.6
CUST10232,Armelle DJOKAM,627758595,2024-11-09,Yaoundé,Essos,25.4
CUST11824,CARINE MVONDO,+237628575536,2024-11-23,Bafoussam ,Ngouache,59.1
CUST11465,MARLÈNE NJIEMOUN,(+237) 684674816,2021-09-21,douala,PK12,40.9
CUST10214,Josephine KOUAM,6 88 97 90 95,2023-06-26,Bafoussam,Baham-Route,38.7
CUST11027,Rabi KOLLO,676906611,2024-07-03,Yaounde,Ngoa-Ekele,14.5
CUST10703,Thierry keita,+237636757737,2021-08-19,Douala ,Makepe,19.8
CUST11298,Fatima NJOH,(+237) 625659979,2023-12-15,Douala ,Ndokotti,49.1
CUST11554,NGANSO Aïcha,678765957,2024-03-27,DOUALA,Bonapriso,43.4
